1005,OPEN,NTRs: flammagenitus, cumulonimbus flammagenitus cloud,,2020-09-12 15:51:01 +0000 UTC
1004,CLOSED,ecoregion is both material and immaterial!,UA-SRC,2020-09-23 14:38:57 +0000 UTC
1003,OPEN,NTR: topsoil,soil, UA-SRC,2020-08-31 22:09:17 +0000 UTC
1001,OPEN,Incorporate "Ontology of Soil Properties and Processes",soil, mapping,2020-08-13 10:15:18 +0000 UTC
1000,OPEN,Nebulae: space clouds?,Modify term, New term,2020-08-13 15:06:46 +0000 UTC
999,OPEN,create atmospheric étages,New term, thoughts,2020-09-07 12:47:12 +0000 UTC
998,OPEN,Term revisions: cloud genera,enhancement, Modify term,2020-09-10 10:08:39 +0000 UTC
996,CLOSED,Term revision: Cumulus cloud,bug, enhancement, Modify term,2020-08-10 12:21:28 +0000 UTC
995,OPEN,Add Zobler soil types,soil,2020-09-09 03:59:49 +0000 UTC
990,OPEN,NTR: graupel,enhancement, mapping, Hazards, MIxS, SWEET,2020-08-10 13:00:46 +0000 UTC
989,OPEN,Rename 'master' branch to something like 'primary', or 'trunk',,2020-07-16 08:26:40 +0000 UTC
987,OPEN,Upgrade debris flow semantics for wildfire use cases,enhancement, axiomatization, soil, Hazards,2020-07-16 04:03:38 +0000 UTC
983,CLOSED,NTRs for ECTO exposure use cases,enhancement, Hazards,2020-07-31 18:06:11 +0000 UTC
982,OPEN,ENVO mappings for a few SESAR 'material' terms,,2020-06-30 01:11:33 +0000 UTC
981,OPEN,Request for assigning a few ENVO terms under ENVO feature,MIxS,2020-10-06 07:27:57 +0000 UTC
980,OPEN,Request for new ENVO term labels:,,2020-07-06 22:16:10 +0000 UTC
977,OPEN,Ensure consistent use of CHEBI for design patterns,Modify term, pattern,2020-07-18 05:25:59 +0000 UTC
974,CLOSED,NTR: potting soil,soil, PR submitted, UA-SRC,2020-08-10 12:45:35 +0000 UTC
973,OPEN,compost soil lacking definition,soil, PR submitted, UA-SRC,2020-08-05 23:54:06 +0000 UTC
972,OPEN,Consider OLS as standard resolver,,2020-06-18 19:26:28 +0000 UTC
971,OPEN,Proposed rename: solid astronomical body part -> landform,,2020-06-15 23:19:18 +0000 UTC
969,CLOSED,Error in target imports/seed.txt,question,2020-06-07 23:35:06 +0000 UTC
967,OPEN,Creation of ENVO planned process DOSDP,enhancement, pattern,2020-06-11 19:27:08 +0000 UTC
964,OPEN,NTR: environmental structure: new grouping above astronomical body part,enhancement, New term,2020-10-06 21:51:45 +0000 UTC
963,CLOSED,frazil + frazile ice both under both material and ABP,question, interesting-discussion, in editor's version,2020-07-03 08:37:01 +0000 UTC
960,CLOSED,Request for the individual list of ENVO terms by each of the triad,question,2020-06-10 23:29:50 +0000 UTC
958,CLOSED,Request for a new term - Fracking water (ENVO material),enhancement, in editor's version, GOLD/EBI-MGNIFY,2020-07-03 08:30:51 +0000 UTC
955,CLOSED,Term ENVO_01000814 misplaced in hierarchy,bug, axiomatization,2020-06-01 22:41:08 +0000 UTC
954,OPEN,Australian landform classification - alignment opportunity? checklist?,question, mapping,2020-06-02 18:48:36 +0000 UTC
953,OPEN,NTRs regarding soil measurements and processes,enhancement, soil,2021-02-10 10:00:56 +0000 UTC
